segment,price_index,predicted_quantity,revenue
Budget,-19.99999999999999,3.0102147864199247,7.49571622028149
Budget,-18.99999999999999,3.0033020341350847,7.571984106132475
Budget,-17.99999999999999,2.9963892818502442,7.64782165699821
Budget,-16.999999999999986,2.989476529565404,7.723228872878699
Budget,-15.999999999999986,2.982563777280564,7.798205753773941
Budget,-14.999999999999986,2.9756510249957233,7.872752299683932
Budget,-13.999999999999984,2.9687382727108833,7.946868510608679
Budget,-12.999999999999984,2.9618255204260433,8.020554386548177
Budget,-11.999999999999982,2.954912768141203,8.093809927502425
Budget,-10.999999999999982,2.948000015856363,8.166635133471429
Budget,-9.99999999999998,2.941087263571523,8.239030004455183
Budget,-8.99999999999998,2.9341745112866824,8.31099454045369
Budget,-7.99999999999998,2.9272617590018424,8.382528741466949
Budget,-6.999999999999979,2.9203490067170024,8.453632607494962
Budget,-5.999999999999978,2.9134362544321624,8.524306138537725
Budget,-4.999999999999977,2.9065235021473215,8.594549334595238
Budget,-3.999999999999976,2.8996107498624815,8.664362195667508
Budget,-2.999999999999975,2.8926979975776415,8.733744721754528
Budget,-1.999999999999974,2.885785245292801,8.8026969128563
Budget,-0.9999999999999731,2.878872493007961,8.871218768972824
Budget,2.7755575615628914e-14,2.8719597407231205,8.939310290104101
Budget,1.0000000000000286,2.8650469884382805,9.006971476250131
Budget,2.0000000000000293,2.8581342361534405,9.074202327410912
Budget,3.00000000000003,2.8512214838686005,9.141002843586447
Budget,4.000000000000031,2.84430873158376,9.20737302477673
Budget,5.000000000000032,2.8373959792989196,9.27331287098177
Budget,6.000000000000033,2.8304832270140796,9.33882238220156
Budget,7.000000000000034,2.8235704747292396,9.403901558436102
Budget,8.000000000000036,2.816657722444399,9.468550399685396
Budget,9.000000000000036,2.809744970159559,9.532768905949442
Budget,10.000000000000037,2.8028322178747187,9.596557077228242
Budget,11.000000000000037,2.7959194655898787,9.659914913521794
Budget,12.000000000000039,2.7890067133050387,9.7228424148301
Budget,13.000000000000039,2.7820939610201982,9.785339581153153
Budget,14.00000000000004,2.7751812087353582,9.847406412490962
Budget,15.00000000000004,2.768268456450518,9.909042908843523
Budget,16.000000000000043,2.7613557041656778,9.970249070210835
Budget,17.000000000000043,2.7544429518808378,10.031024896592902
Budget,18.000000000000043,2.7475301995959973,10.091370387989716
Budget,19.000000000000046,2.7406174473111573,10.151285544401288
Budget,20.000000000000046,2.733704695026317,10.210770365827608
Budget,21.000000000000046,2.726791942741477,10.269824852268682
Budget,22.000000000000046,2.719879190456637,10.32844900372451
Budget,23.00000000000005,2.7129664381717964,10.386642820195085
Budget,24.00000000000005,2.7060536858869564,10.444406301680418
Budget,25.00000000000005,2.699140933602116,10.5017394481805
Budget,26.00000000000005,2.692228181317276,10.558642259695336
Budget,27.000000000000053,2.685315429032436,10.615114736224923
Budget,28.000000000000053,2.6784026767475955,10.671156877769262
Budget,29.000000000000053,2.6714899244627555,10.726768684328352
Budget,30.000000000000053,2.664577172177915,10.781950155902196
Mid-tier,-30.0,5.974424889761991,10.386040708895028
Mid-tier,-28.999999999999996,5.952068427224126,10.494992656395684
Mid-tier,-27.999999999999996,5.92971196468626,10.602834179597004
Mid-tier,-26.999999999999996,5.907355502148394,10.709565278498989
Mid-tier,-25.999999999999996,5.884999039610528,10.815185953101636
Mid-tier,-24.999999999999993,5.862642577072663,10.919696203404952
Mid-tier,-23.999999999999993,5.840286114534797,11.02309602940893
Mid-tier,-22.999999999999993,5.81792965199693,11.12538543111357
Mid-tier,-21.999999999999993,5.7955731894590645,11.226564408518877
Mid-tier,-20.99999999999999,5.7732167269211985,11.326632961624847
Mid-tier,-19.99999999999999,5.750860264383333,11.425591090431485
Mid-tier,-18.99999999999999,5.728503801845466,11.523438794938782
Mid-tier,-17.99999999999999,5.7061473393076,11.620176075146746
Mid-tier,-16.999999999999986,5.683790876769735,11.715802931055373
Mid-tier,-15.999999999999986,5.661434414231869,11.810319362664666
Mid-tier,-14.999999999999986,5.639077951694003,11.903725369974623
Mid-tier,-13.999999999999984,5.616721489156137,11.996020952985244
Mid-tier,-12.999999999999984,5.594365026618272,12.087206111696533
Mid-tier,-11.999999999999982,5.572008564080406,12.177280846108482
Mid-tier,-10.999999999999982,5.549652101542539,12.266245156221093
Mid-tier,-9.99999999999998,5.527295639004674,12.354099042034372
Mid-tier,-8.99999999999998,5.504939176466808,12.440842503548316
Mid-tier,-7.99999999999998,5.4825827139289425,12.526475540762926
Mid-tier,-6.999999999999979,5.4602262513910755,12.610998153678194
Mid-tier,-5.999999999999978,5.4378697888532095,12.694410342294129
Mid-tier,-4.999999999999977,5.415513326315344,12.77671210661073
Mid-tier,-3.999999999999976,5.393156863777477,12.857903446627994
Mid-tier,-2.999999999999975,5.370800401239612,12.937984362345924
Mid-tier,-1.999999999999974,5.348443938701746,13.016954853764517
Mid-tier,-0.9999999999999731,5.326087476163881,13.094814920883776
Mid-tier,2.7755575615628914e-14,5.303731013626014,13.171564563703695
Mid-tier,1.0000000000000286,5.281374551088148,13.24720378222428
Mid-tier,2.0000000000000293,5.259018088550283,13.321732576445534
Mid-tier,3.00000000000003,5.236661626012416,13.395150946367448
Mid-tier,4.000000000000031,5.214305163474551,13.467458891990026
Mid-tier,5.000000000000032,5.191948700936685,13.53865641331327
Mid-tier,6.000000000000033,5.169592238398819,13.608743510337177
Mid-tier,7.000000000000034,5.147235775860953,13.67772018306175
Mid-tier,8.000000000000036,5.124879313323087,13.74558643148699
Mid-tier,9.000000000000036,5.1025228507852205,13.812342255612888
Mid-tier,10.000000000000037,5.080166388247355,13.877987655439453
Mid-tier,11.000000000000037,5.057809925709489,13.942522630966684
Mid-tier,12.000000000000039,5.035453463171623,14.005947182194577
Mid-tier,13.000000000000039,5.013097000633757,14.068261309123136
Mid-tier,14.00000000000004,4.990740538095892,14.12946501175236
Mid-tier,15.00000000000004,4.968384075558025,14.189558290082243
Mid-tier,16.000000000000043,4.94602761302016,14.248541144112796
Mid-tier,17.000000000000043,4.923671150482294,14.306413573844011
Mid-tier,18.000000000000043,4.901314687944428,14.363175579275893
Mid-tier,19.000000000000046,4.878958225406562,14.418827160408437
Mid-tier,20.000000000000046,4.856601762868697,14.473368317241645
Mid-tier,21.000000000000046,4.83424530033083,14.526799049775516
Mid-tier,22.000000000000046,4.8118888377929645,14.579119358010056
Mid-tier,23.00000000000005,4.7895323752550985,14.630329241945258
Mid-tier,24.00000000000005,4.767175912717232,14.680428701581123
Mid-tier,25.00000000000005,4.744819450179366,14.729417736917652
Mid-tier,26.00000000000005,4.722462987641501,14.777296347954849
Mid-tier,27.000000000000053,4.700106525103634,14.824064534692706
Mid-tier,28.000000000000053,4.677750062565769,14.869722297131231
Mid-tier,29.000000000000053,4.655393600027903,14.91426963527042
Mid-tier,30.000000000000053,4.633037137490037,14.957706549110272
